product_ref,product_code,product_name,observed_clients,observed_sales,observed_subscription_rows,min_duration_days,max_duration_days,auto_classification,review_reason,recommended_action
B0D9000C29D830FD11F066CA213D0981,00000001642,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,1103,1124,1124,1,9034,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,keep_full_subscription_unless_customer_says_otherwise
B07E000C29D830FD11F0259878589A01,00000001600,"Абонемент МУЛЬТИ 12 месяцев (Акция "" + 3 мес. в подарок + 3 мес. заморозки) 10 900,00 ",0,0,0,,,other_sale,not observed as subscription product,manual_review
AEEE000C29D830FD11EEF66534B0B728,00000001333,Заморозка абонемента,0,0,0,,,other_sale,not observed as subscription product,manual_review
AC30A4BF01266AD411EC40906F8E09EC,00000000415,Заморозка абонемента ,0,0,0,,,other_sale,not observed as subscription product,manual_review
AF09000C29D830FD11EF0BA34D0F0C25,00000001377,Заморозка абонемента 1 месяц,0,0,0,,,other_sale,not observed as subscription product,manual_review
AD25A4BF01266AD411EDAB7A95107425,00000000925,Заморозка абонемента 10 дней,0,0,0,,,other_sale,not observed as subscription product,manual_review
AA9BA4BF01266AD311E8AABCC0ED0D91,00000000053,Заморозка абонемента 12 месяцев,0,0,0,,,other_sale,not observed as subscription product,manual_review
AF05000C29D830FD11EF0876E1FAF586,00000001375,Заморозка абонемента 14 дней,0,0,0,,,other_sale,not observed as subscription product,manual_review
AD18A4BF01266AD411EDA16336698EFF,00000000920,Заморозка абонемента 15 дней,0,0,0,,,other_sale,not observed as subscription product,manual_review
AD0CA4BF01266AD411ED97F5CEB6AD30,00000000913,Заморозка абонемента 2 месяца,0,0,0,,,other_sale,not observed as subscription product,manual_review
AF09000C29D830FD11EF0BA35C6F4680,00000001378,Заморозка абонемента 2 месяца,0,0,0,,,other_sale,not observed as subscription product,manual_review
AF07000C29D830FD11EF09ED87114051,00000001376,Заморозка абонемента 3 месяца,0,0,0,,,other_sale,not observed as subscription product,manual_review
AA9BA4BF01266AD311E8AABCC0ED0D8E,00000000050,Заморозка абонемента 30 дней,0,0,0,,,other_sale,not observed as subscription product,manual_review
AA9BA4BF01266AD311E8AABCC0ED0D90,00000000052,Заморозка абонемента 6 месяцев,0,0,0,,,other_sale,not observed as subscription product,manual_review
AA9BA4BF01266AD311E8AABCC0ED0D8F,00000000051,Заморозка абонемента 90 дней,0,0,0,,,other_sale,not observed as subscription product,manual_review
AA9EA4BF01266AD311E8D82589232D73,00000000093,Пакет 8,960,2410,2410,-6773,6996,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AE39000C29D830FD11EE6F542E78B80A,00000001218,АКВА 26 посещений,75,78,78,2,184,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ACE7A4BF01266AD411ED7ABA1F8B9722,00000000895,АКВА 38 посещений,69,69,69,26,275,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E990DC16190F1E,00000000180,АКВА 40 посещений,601,1016,1016,1,7606,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AC3EA4BF01266AD411EC56A05231DDA0,00000000648,СУБАРЕНДА 10 посещений,6,11,11,28,31,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ABFFA4BF01266AD411EC1AB45199F07D,00000000409,СУБАРЕНДА безлимит,57,814,814,1,8138,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AFB8000C29D830FD11EF8D377302B83E,00000001466,"Спец. цена Полина 9 900,00",5,5,5,273,273,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AB34A4BF01266AD411EB816DD2AE44CE,00000000362,АКВА 35 посещений,41,41,41,111,307,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ADD1000C29D830FD11EE20895D03FE2D,00000001144,АКВА 48 посещений,37,37,37,188,348,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ABFFA4BF01266AD411EC1AB433F8DB37,00000000408,СУБАРЕНДА 15 посещений,37,476,476,5,63,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AADDA4BF01266AD411EAA7E8B7F4DA15,00000000306,АКВА 40 посещений САЙТ,32,33,33,134,270,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AC5FA4BF01266AD411ECA429A81300FB,00000000735,СУБАРЕНДА 12 посещений,31,423,423,18,52,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AFE1000C29D830FD11EFAD7D54FAD4B6,00000001496,Танцевальная тренировка (не использовать!!!),29,50,50,30,30,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AB34A4BF01266AD411EB816FA5002150,00000000363,АКВА 22 посещения,28,28,28,71,154,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E990DD47D43461,00000000183,АКВА 24 посещения,243,261,261,60,8053,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ABFFA4BF01266AD411EC1AB2987E8962,00000000407,СУБАРЕНДА 8 посещений,24,80,80,20,9151,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AFA3000C29D830FD11EF7EFEFCDDFD1F,00000001464,Подарочный сертификат 1 месяц безлимитного фитнеса,232,233,233,1,31,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AB34A4BF01266AD411EB816D9D2E0EA1,00000000361,АКВА 10 посещений,23,26,26,21,55,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E990DD2427CA1C,00000000182,АКВА 36 посещений,227,258,258,2,976,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E990DCFB01527D,00000000181,АКВА 46 посещений,221,270,270,1,841,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AC8FA4BF01266AD411ED282FA9B6A57B,00000000811,АКВА 30 посещений,212,239,239,1,8044,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AA9EA4BF01266AD311E8D82589232D74,00000000094,Пакет 12 (персональные тренировки),2051,8790,8790,-6805,7928,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AE21000C29D830FD11EE5DCC477B6971,00000001208,АКВА 6 посещений,2,2,2,31,45,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
B152000C29D830FD11F0BFCCB5A5C951,00000001684,Медленный класс (10 посещений) двойное предложение,2,4,4,36,60,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AE97000C29D830FD11EEB5E224D01D09,00000001279,Наталья триггер2,2,2,2,365,366,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AD33A4BF01266AD411EDBF1F314FA67E,00000000959,"Спец. цена Яна 11 900,00",2,2,2,366,366,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ACD9A4BF01266AD411ED6F1D348DCEFB,00000000876,СУБАРЕНДА 20 посещений,2,3,3,30,31,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AFC7000C29D830FD11EF99133B51EC93,00000001480,Фитнес-марафон 2024,2,2,2,19,19,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AD33A4BF01266AD411EDBF1F314FA67F,00000000960,"Спец. цена Яна 10 900,00",17,17,17,273,8909,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E9941AF979FC72,00000000202,АКВА 8 посещений,169,198,198,10,8825,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AA9EA4BF01266AD311E8D82589232D76,00000000096,Пакет 12 ВИП (персональные тренировки),16,57,57,17,7617,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AC8FA4BF01266AD411ED282F1D85E118,00000000810,АКВА 18 посещений,150,194,194,25,169,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E9941B0CECB303,00000000203,АКВА 18 посещений,140,162,162,1,169,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AA9EA4BF01266AD311E8D82589232D77,00000000097,Пакет 8 ВИП ,13,34,34,8,127,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAB5A4BF01266AD311E9941AEB16049A,00000000201,АКВА 4 посещения,120,156,156,4,186,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AE9B000C29D830FD11EEB904C34CBB28,00000001286,АКВА 32 посещения,116,126,126,37,8675,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AAE3A4BF01266AD411EB03B098E57A4D,00000000345,АКВА 46 посещений САЙТ,1,1,1,243,243,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AD39A4BF01266AD411EDC401EDA97FE7,00000000965,Карта розыгрыш(Мосеева Екатерина Олеговна),1,1,1,32,32,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AEFF000C29D830FD11EF03AA884BB8DE,00000001374,Катя проверка триггер,1,1,1,91,91,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
AE95000C29D830FD11EEB44107BAD405,00000001278,Наталья триггер,1,1,1,366,366,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
ABF0A4BF01266AD411EC0EF77639C4AA,00000000404,Пакет 10 (персональные тренировки),1,1,1,60,60,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
B02E000C29D830FD11EFE922AA99F790,00000001553,Пакет 6,1,1,1,29,29,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
B091000C29D830FD11F0348FE0F505B9,00000001610,СУБАРЕНДА безлимит Савостьянова Ксения,1,5,5,30,31,unknown_review_required,observed in subscription register but no automatic rule matched,manual_review
