product_ref,product_code,product_name,current_product_class,decision_bucket,approved_product_class,decision_note,counting_rule,observed_clients,observed_sales,observed_subscription_rows,min_duration_days,max_duration_days,review_reason,recommended_action
AADDA4BF01266AD411EAA7E8B7F4DA15,00000000306,АКВА 40 посещений САЙТ,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,32,33,33,134,270,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AC5FA4BF01266AD411ECA429A81300FB,00000000735,СУБАРЕНДА 12 посещений,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,30,420,420,18,52,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AFE1000C29D830FD11EFAD7D54FAD4B6,00000001496,Танцевальная тренировка (не использовать!!!),unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,29,50,50,30,30,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AB34A4BF01266AD411EB816FA5002150,00000000363,АКВА 22 посещения,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,28,28,28,71,154,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAB5A4BF01266AD311E990DD47D43461,00000000183,АКВА 24 посещения,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,243,261,261,60,8053,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
ABFFA4BF01266AD411EC1AB2987E8962,00000000407,СУБАРЕНДА 8 посещений,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,24,76,76,20,9151,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AFA3000C29D830FD11EF7EFEFCDDFD1F,00000001464,Подарочный сертификат 1 месяц безлимитного фитнеса,unknown_review_required,customer_confirmed_gift_certificate_counts_as_subscription,full_subscription,"Customer confirmed gift certificate counts as subscription; if not active on cutoff, client goes to reactivation.",always,231,232,232,1,31,observed in subscription register but no automatic rule matched,customer_confirmed_full_subscription
AB34A4BF01266AD411EB816D9D2E0EA1,00000000361,АКВА 10 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,23,26,26,21,55,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAB5A4BF01266AD311E990DD2427CA1C,00000000182,АКВА 36 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,227,258,258,2,976,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAB5A4BF01266AD311E990DCFB01527D,00000000181,АКВА 46 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,221,270,270,1,841,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AC8FA4BF01266AD411ED282FA9B6A57B,00000000811,АКВА 30 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,212,239,239,1,8044,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AA9EA4BF01266AD311E8D82589232D74,00000000094,Пакет 12 (персональные тренировки),unknown_review_required,customer_confirmed_full_only_without_other_full,full_subscription,Customer confirmed Package 12 PT counts as main subscription only when client has no other main subscription; otherwise ignored.,full_if_no_other_full_subscription,2051,8782,8782,-6805,7928,observed in subscription register but no automatic rule matched,customer_confirmed_conditional_full_subscription
AE21000C29D830FD11EE5DCC477B6971,00000001208,АКВА 6 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,2,2,2,31,45,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
B152000C29D830FD11F0BFCCB5A5C951,00000001684,Медленный класс (10 посещений) двойное предложение,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,2,4,4,36,60,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AE97000C29D830FD11EEB5E224D01D09,00000001279,Наталья триггер2,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,2,2,2,365,366,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AD33A4BF01266AD411EDBF1F314FA67E,00000000959,"Спец. цена Яна 11 900,00",unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,2,2,2,366,366,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
ACD9A4BF01266AD411ED6F1D348DCEFB,00000000876,СУБАРЕНДА 20 посещений,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,2,3,3,30,31,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AFC7000C29D830FD11EF99133B51EC93,00000001480,Фитнес-марафон 2024,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,2,2,2,19,19,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AD33A4BF01266AD411EDBF1F314FA67F,00000000960,"Спец. цена Яна 10 900,00",unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,17,17,17,273,8909,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AAB5A4BF01266AD311E9941AF979FC72,00000000202,АКВА 8 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,169,198,198,10,8825,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AA9EA4BF01266AD311E8D82589232D76,00000000096,Пакет 12 ВИП (персональные тренировки),unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,16,57,57,17,7617,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AC8FA4BF01266AD411ED282F1D85E118,00000000810,АКВА 18 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,150,194,194,25,169,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAB5A4BF01266AD311E9941B0CECB303,00000000203,АКВА 18 посещений,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,140,162,162,1,169,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AA9EA4BF01266AD311E8D82589232D77,00000000097,Пакет 8 ВИП ,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,13,34,34,8,127,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AAB5A4BF01266AD311E9941AEB16049A,00000000201,АКВА 4 посещения,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,120,156,156,4,186,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AE9B000C29D830FD11EEB904C34CBB28,00000001286,АКВА 32 посещения,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,116,126,126,37,8675,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AAE3A4BF01266AD411EB03B098E57A4D,00000000345,АКВА 46 посещений САЙТ,unknown_review_required,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,1,1,1,243,243,observed in subscription register but no automatic rule matched,customer_confirmed_full_for_reactivation
AD39A4BF01266AD411EDC401EDA97FE7,00000000965,Карта розыгрыш(Мосеева Екатерина Олеговна),unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,1,1,1,32,32,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AEFF000C29D830FD11EF03AA884BB8DE,00000001374,Катя проверка триггер,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,1,1,1,91,91,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AE95000C29D830FD11EEB44107BAD405,00000001278,Наталья триггер,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,1,1,1,366,366,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
ABF0A4BF01266AD411EC0EF77639C4AA,00000000404,Пакет 10 (персональные тренировки),unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,1,1,1,60,60,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
B02E000C29D830FD11EFE922AA99F790,00000001553,Пакет 6,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed all other disputed products should not be counted as subscriptions.,always,1,1,1,29,29,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
B091000C29D830FD11F0348FE0F505B9,00000001610,СУБАРЕНДА безлимит Савостьянова Ксения,unknown_review_required,customer_confirmed_not_subscription,other_sale,Customer confirmed SUBARENDA should not be counted as subscription in any case.,always,1,5,5,30,31,observed in subscription register but no automatic rule matched,customer_confirmed_not_subscription
AECB000C29D830FD11EEDC85C5FB57D9,00000001324,Пробное посещение АКВА ,trial_or_guest,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,48,48,48,1,169,trial/guest/short keyword,customer_confirmed_full_for_reactivation
AECB000C29D830FD11EEDC83652ADBBA,00000001323,Разовое посещение АКВА ,trial_or_guest,customer_confirmed_akva_counts_for_reactivation,full_subscription,Customer confirmed any AKVA pass/visit counts as prior subscription for reactivation.,always,42,69,69,1,27,trial/guest/short keyword,customer_confirmed_full_for_reactivation
