"schema_name","table_name","approx_rows","column_id","column_name","sql_type","max_length","precision","scale","is_nullable"
"dbo","_AccRg4711",1656572,48,"_ValueDt5_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,49,"_ValueDt5_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,50,"_KindDt5RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,51,"_ValueCt5_TYPE","binary",1,0,0,1
"dbo","_AccRg4711",1656572,52,"_ValueCt5_RTRef","binary",4,0,0,1
"dbo","_AccRg4711",1656572,53,"_ValueCt5_RRRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,54,"_KindCt5RRef","binary",16,0,0,1
"dbo","_AccRg4711",1656572,55,"_EDHashDt","numeric",9,10,0,0
"dbo","_AccRg4711",1656572,56,"_EDHashCt","numeric",9,10,0,0
"dbo","_AccRgAT04716",1758,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT04716",1758,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT04716",1758,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT04716",1758,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT04716",1758,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT04716",1758,6,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT04716",1758,7,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT04716",1758,8,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT04716",1758,9,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT04716",1758,10,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT04716",1758,11,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT04716",1758,12,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT04716",1758,13,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT04716",1758,14,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT14723",2531090,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT14723",2531090,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT14723",2531090,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT14723",2531090,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT14723",2531090,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT14723",2531090,6,"_Value1_TYPE","binary",1,0,0,1
"dbo","_AccRgAT14723",2531090,7,"_Value1_RTRef","binary",4,0,0,1
"dbo","_AccRgAT14723",2531090,8,"_Value1_RRRef","binary",16,0,0,1
"dbo","_AccRgAT14723",2531090,9,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT14723",2531090,10,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT14723",2531090,11,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT14723",2531090,12,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT14723",2531090,13,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT14723",2531090,14,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT14723",2531090,15,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT14723",2531090,16,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT14723",2531090,17,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT24724",2319670,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT24724",2319670,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT24724",2319670,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT24724",2319670,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT24724",2319670,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT24724",2319670,6,"_Value1_TYPE","binary",1,0,0,1
"dbo","_AccRgAT24724",2319670,7,"_Value1_RTRef","binary",4,0,0,1
"dbo","_AccRgAT24724",2319670,8,"_Value1_RRRef","binary",16,0,0,1
"dbo","_AccRgAT24724",2319670,9,"_Value2_TYPE","binary",1,0,0,1
"dbo","_AccRgAT24724",2319670,10,"_Value2_RTRef","binary",4,0,0,1
"dbo","_AccRgAT24724",2319670,11,"_Value2_RRRef","binary",16,0,0,1
"dbo","_AccRgAT24724",2319670,12,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT24724",2319670,13,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT24724",2319670,14,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT24724",2319670,15,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT24724",2319670,16,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT24724",2319670,17,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT24724",2319670,18,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT24724",2319670,19,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT24724",2319670,20,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT34725",116,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT34725",116,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT34725",116,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT34725",116,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT34725",116,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT34725",116,6,"_Value1_TYPE","binary",1,0,0,1
"dbo","_AccRgAT34725",116,7,"_Value1_RTRef","binary",4,0,0,1
"dbo","_AccRgAT34725",116,8,"_Value1_RRRef","binary",16,0,0,1
"dbo","_AccRgAT34725",116,9,"_Value2_TYPE","binary",1,0,0,1
"dbo","_AccRgAT34725",116,10,"_Value2_RTRef","binary",4,0,0,1
"dbo","_AccRgAT34725",116,11,"_Value2_RRRef","binary",16,0,0,1
"dbo","_AccRgAT34725",116,12,"_Value3_TYPE","binary",1,0,0,1
"dbo","_AccRgAT34725",116,13,"_Value3_RTRef","binary",4,0,0,1
"dbo","_AccRgAT34725",116,14,"_Value3_RRRef","binary",16,0,0,1
"dbo","_AccRgAT34725",116,15,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT34725",116,16,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT34725",116,17,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT34725",116,18,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT34725",116,19,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT34725",116,20,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT34725",116,21,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT34725",116,22,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT34725",116,23,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT44726",408034,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT44726",408034,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT44726",408034,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT44726",408034,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT44726",408034,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT44726",408034,6,"_Value1_TYPE","binary",1,0,0,1
"dbo","_AccRgAT44726",408034,7,"_Value1_RTRef","binary",4,0,0,1
"dbo","_AccRgAT44726",408034,8,"_Value1_RRRef","binary",16,0,0,1
"dbo","_AccRgAT44726",408034,9,"_Value2_TYPE","binary",1,0,0,1
"dbo","_AccRgAT44726",408034,10,"_Value2_RTRef","binary",4,0,0,1
"dbo","_AccRgAT44726",408034,11,"_Value2_RRRef","binary",16,0,0,1
"dbo","_AccRgAT44726",408034,12,"_Value3_TYPE","binary",1,0,0,1
"dbo","_AccRgAT44726",408034,13,"_Value3_RTRef","binary",4,0,0,1
"dbo","_AccRgAT44726",408034,14,"_Value3_RRRef","binary",16,0,0,1
"dbo","_AccRgAT44726",408034,15,"_Value4_TYPE","binary",1,0,0,1
"dbo","_AccRgAT44726",408034,16,"_Value4_RTRef","binary",4,0,0,1
"dbo","_AccRgAT44726",408034,17,"_Value4_RRRef","binary",16,0,0,1
"dbo","_AccRgAT44726",408034,18,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT44726",408034,19,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT44726",408034,20,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT44726",408034,21,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT44726",408034,22,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT44726",408034,23,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT44726",408034,24,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT44726",408034,25,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT44726",408034,26,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT44726",408034,27,"_DimHash","numeric",9,10,0,0
"dbo","_AccRgAT54727",820520,1,"_AccountRRef","binary",16,0,0,0
"dbo","_AccRgAT54727",820520,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgAT54727",820520,3,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgAT54727",820520,4,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgAT54727",820520,5,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgAT54727",820520,6,"_Value1_TYPE","binary",1,0,0,1
"dbo","_AccRgAT54727",820520,7,"_Value1_RTRef","binary",4,0,0,1
"dbo","_AccRgAT54727",820520,8,"_Value1_RRRef","binary",16,0,0,1
"dbo","_AccRgAT54727",820520,9,"_Value2_TYPE","binary",1,0,0,1
"dbo","_AccRgAT54727",820520,10,"_Value2_RTRef","binary",4,0,0,1
"dbo","_AccRgAT54727",820520,11,"_Value2_RRRef","binary",16,0,0,1
"dbo","_AccRgAT54727",820520,12,"_Value3_TYPE","binary",1,0,0,1
"dbo","_AccRgAT54727",820520,13,"_Value3_RTRef","binary",4,0,0,1
"dbo","_AccRgAT54727",820520,14,"_Value3_RRRef","binary",16,0,0,1
"dbo","_AccRgAT54727",820520,15,"_Value4_TYPE","binary",1,0,0,1
"dbo","_AccRgAT54727",820520,16,"_Value4_RTRef","binary",4,0,0,1
"dbo","_AccRgAT54727",820520,17,"_Value4_RRRef","binary",16,0,0,1
"dbo","_AccRgAT54727",820520,18,"_Value5_TYPE","binary",1,0,0,1
"dbo","_AccRgAT54727",820520,19,"_Value5_RTRef","binary",4,0,0,1
"dbo","_AccRgAT54727",820520,20,"_Value5_RRRef","binary",16,0,0,1
"dbo","_AccRgAT54727",820520,21,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgAT54727",820520,22,"_TurnoverDt4717","numeric",9,17,3,1
"dbo","_AccRgAT54727",820520,23,"_TurnoverCt4718","numeric",9,17,3,1
"dbo","_AccRgAT54727",820520,24,"_Turnover4719","numeric",9,17,3,1
"dbo","_AccRgAT54727",820520,25,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgAT54727",820520,26,"_TurnoverDt4720","numeric",9,18,2,1
"dbo","_AccRgAT54727",820520,27,"_TurnoverCt4721","numeric",9,18,2,1
"dbo","_AccRgAT54727",820520,28,"_Turnover4722","numeric",9,18,2,1
"dbo","_AccRgAT54727",820520,29,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgAT54727",820520,30,"_DimHash","numeric",9,10,0,0
"dbo","_AccRgChngR8756",0,1,"_NodeTRef","binary",4,0,0,0
"dbo","_AccRgChngR8756",0,2,"_NodeRRef","binary",16,0,0,0
"dbo","_AccRgChngR8756",0,3,"_MessageNo","numeric",9,10,0,1
"dbo","_AccRgChngR8756",0,4,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccRgChngR8756",0,5,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccRgChngR8756",0,6,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgCT4728",1289,1,"_Period","datetime2",6,19,0,0
"dbo","_AccRgCT4728",1289,2,"_AccountDtRRef","binary",16,0,0,0
"dbo","_AccRgCT4728",1289,3,"_AccountCtRRef","binary",16,0,0,0
"dbo","_AccRgCT4728",1289,4,"_Fld4712_TYPE","binary",1,0,0,0
"dbo","_AccRgCT4728",1289,5,"_Fld4712_RTRef","binary",4,0,0,0
"dbo","_AccRgCT4728",1289,6,"_Fld4712_RRRef","binary",16,0,0,0
"dbo","_AccRgCT4728",1289,7,"_Fld4713","numeric",9,17,3,1
"dbo","_AccRgCT4728",1289,8,"_Fld4714","numeric",9,18,2,1
"dbo","_AccRgCT4728",1289,9,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgED4729",8363806,1,"_Period","datetime2",6,19,0,0
"dbo","_AccRgED4729",8363806,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccRgED4729",8363806,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccRgED4729",8363806,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccRgED4729",8363806,5,"_Correspond","numeric",5,1,0,0
"dbo","_AccRgED4729",8363806,6,"_KindRRef","binary",16,0,0,0
"dbo","_AccRgED4729",8363806,7,"_Value_TYPE","binary",1,0,0,0
"dbo","_AccRgED4729",8363806,8,"_Value_RTRef","binary",4,0,0,0
"dbo","_AccRgED4729",8363806,9,"_Value_RRRef","binary",16,0,0,0
"dbo","_AccRgED4729",8363806,10,"_Fld346","numeric",5,7,0,0
"dbo","_AccRgOpt4730",1,1,"_RegID","binary",16,0,0,0
"dbo","_AccRgOpt4730",1,2,"_Period","datetime2",6,19,0,0
"dbo","_AccRgOpt4730",1,3,"_ActualPeriod","binary",1,0,0,0
"dbo","_AccRgOpt4730",1,4,"_Periodicity","numeric",5,2,0,0
"dbo","_AccRgOpt4730",1,5,"_RepetitionFactor","numeric",5,2,0,0
"dbo","_AccRgOpt4730",1,6,"_UseTotals","numeric",5,1,0,0
"dbo","_AccRgOpt4730",1,7,"_MinPeriod","datetime2",6,19,0,0
"dbo","_AccRgOpt4730",1,8,"_UseSplitter","binary",1,0,0,0
"dbo","_AccRgOpt4730",1,9,"_MinCalculatedPeriod","datetime2",6,19,0,0
"dbo","_AccRgOpt4730",1,10,"_Fld346","numeric",5,7,0,0
"dbo","_AccSInf4710",1,1,"_PDInitialized","binary",1,0,0,0
"dbo","_AccSInf4710",1,2,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg10156",389127,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg10156",389127,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccumRg10156",389127,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg10156",389127,5,"_Active","binary",1,0,0,0
"dbo","_AccumRg10156",389127,6,"_Fld10157RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,7,"_Fld10158_TYPE","binary",1,0,0,0
"dbo","_AccumRg10156",389127,8,"_Fld10158_RTRef","binary",4,0,0,0
"dbo","_AccumRg10156",389127,9,"_Fld10158_RRRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,10,"_Fld10159RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,11,"_Fld10160RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,12,"_Fld10161RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,13,"_Fld10162RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,14,"_Fld10163RRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,15,"_Fld10164_TYPE","binary",1,0,0,0
"dbo","_AccumRg10156",389127,16,"_Fld10164_RTRef","binary",4,0,0,0
"dbo","_AccumRg10156",389127,17,"_Fld10164_RRRef","binary",16,0,0,0
"dbo","_AccumRg10156",389127,18,"_Fld10165","numeric",9,15,2,0
"dbo","_AccumRg10156",389127,19,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg3080",0,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg3080",0,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccumRg3080",0,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg3080",0,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg3080",0,5,"_Active","binary",1,0,0,0
"dbo","_AccumRg3080",0,6,"_RecordKind","numeric",5,1,0,0
"dbo","_AccumRg3080",0,7,"_Fld3081RRef","binary",16,0,0,0
"dbo","_AccumRg3080",0,8,"_Fld3082_TYPE","binary",1,0,0,0
"dbo","_AccumRg3080",0,9,"_Fld3082_RTRef","binary",4,0,0,0
"dbo","_AccumRg3080",0,10,"_Fld3082_RRRef","binary",16,0,0,0
"dbo","_AccumRg3080",0,11,"_Fld3083","numeric",9,15,3,0
"dbo","_AccumRg3080",0,12,"_Fld3084","nvarchar",300,0,0,0
"dbo","_AccumRg3080",0,13,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg3086",418955,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg3086",418955,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccumRg3086",418955,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg3086",418955,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg3086",418955,5,"_Active","binary",1,0,0,0
"dbo","_AccumRg3086",418955,6,"_RecordKind","numeric",5,1,0,0
"dbo","_AccumRg3086",418955,7,"_Fld3087_TYPE","binary",1,0,0,0
"dbo","_AccumRg3086",418955,8,"_Fld3087_RTRef","binary",4,0,0,0
"dbo","_AccumRg3086",418955,9,"_Fld3087_RRRef","binary",16,0,0,0
"dbo","_AccumRg3086",418955,10,"_Fld3088RRef","binary",16,0,0,0
"dbo","_AccumRg3086",418955,11,"_Fld3089RRef","binary",16,0,0,0
"dbo","_AccumRg3086",418955,12,"_Fld3090","numeric",9,15,2,0
"dbo","_AccumRg3086",418955,13,"_Fld3091RRef","binary",16,0,0,0
"dbo","_AccumRg3086",418955,14,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg3097",611195,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg3097",611195,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccumRg3097",611195,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg3097",611195,5,"_Active","binary",1,0,0,0
"dbo","_AccumRg3097",611195,6,"_RecordKind","numeric",5,1,0,0
"dbo","_AccumRg3097",611195,7,"_Fld3098RRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,8,"_Fld3099RRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,9,"_Fld3100_TYPE","binary",1,0,0,0
"dbo","_AccumRg3097",611195,10,"_Fld3100_RTRef","binary",4,0,0,0
"dbo","_AccumRg3097",611195,11,"_Fld3100_RRRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,12,"_Fld3101RRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,13,"_Fld3102_TYPE","binary",1,0,0,0
"dbo","_AccumRg3097",611195,14,"_Fld3102_RTRef","binary",4,0,0,0
"dbo","_AccumRg3097",611195,15,"_Fld3102_RRRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,16,"_Fld3103_TYPE","binary",1,0,0,0
"dbo","_AccumRg3097",611195,17,"_Fld3103_RTRef","binary",4,0,0,0
"dbo","_AccumRg3097",611195,18,"_Fld3103_RRRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,19,"_Fld3104RRef","binary",16,0,0,0
"dbo","_AccumRg3097",611195,20,"_Fld3105","numeric",9,15,3,0
"dbo","_AccumRg3097",611195,21,"_Fld3106","numeric",9,15,2,0
"dbo","_AccumRg3097",611195,22,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg3111",2,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg3111",2,2,"_RecorderTRef","binary",4,0,0,0
"dbo","_AccumRg3111",2,3,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,4,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg3111",2,5,"_Active","binary",1,0,0,0
"dbo","_AccumRg3111",2,6,"_Fld3112RRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,7,"_Fld3113RRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,8,"_Fld3114RRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,9,"_Fld3115RRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,10,"_Fld3116_TYPE","binary",1,0,0,0
"dbo","_AccumRg3111",2,11,"_Fld3116_RTRef","binary",4,0,0,0
"dbo","_AccumRg3111",2,12,"_Fld3116_RRRef","binary",16,0,0,0
"dbo","_AccumRg3111",2,13,"_Fld3117","numeric",9,15,2,0
"dbo","_AccumRg3111",2,14,"_Fld346","numeric",5,7,0,0
"dbo","_AccumRg3130",178739,1,"_Period","datetime2",6,19,0,0
"dbo","_AccumRg3130",178739,2,"_RecorderRRef","binary",16,0,0,0
"dbo","_AccumRg3130",178739,3,"_LineNo","numeric",5,9,0,0
"dbo","_AccumRg3130",178739,4,"_Active","binary",1,0,0,0
"dbo","_AccumRg3130",178739,5,"_Fld3131RRef","binary",16,0,0,0
